"region";"måned";"statistikkvariabel";"03616: Hotell og liknande overnattingsbedrifter. Kapasitetsutnytting og pris per rom, etter region, måned og statistikkvariabel"
"01 Østfold";"1987M02";"Pris per rom (kr)";0
"01 Østfold";"1987M03";"Kapasitetsutnytting av senger (prosent)";35,7
"01 Østfold";"1987M03";"Kapasitetsutnytting av rom (prosent)";55,9
"01 Østfold";"1987M03";"Pris per rom (kr)";0
"01 Østfold";"1987M04";"Kapasitetsutnytting av senger (prosent)";34,9
"01 Østfold";"1987M04";"Kapasitetsutnytting av rom (prosent)";48,4
"01 Østfold";"1987M04";"Pris per rom (kr)";0
"01 Østfold";"1987M05";"Kapasitetsutnytting av senger (prosent)";39,7
"01 Østfold";"1987M05";"Kapasitetsutnytting av rom (prosent)";54,6
"01 Østfold";"1987M05";"Pris per rom (kr)";0
"01 Østfold";"1987M06";"Kapasitetsutnytting av senger (prosent)";43,4
"01 Østfold";"1987M06";"Kapasitetsutnytting av rom (prosent)";57,2
"01 Østfold";"1987M06";"Pris per rom (kr)";0
"01 Østfold";"1987M07";"Kapasitetsutnytting av senger (prosent)";48,6
"01 Østfold";"1987M07";"Kapasitetsutnytting av rom (prosent)";52,3
"01 Østfold";"1987M07";"Pris per rom (kr)";0
"01 Østfold";"1987M08";"Kapasitetsutnytting av senger (prosent)";42,9
"01 Østfold";"1987M08";"Kapasitetsutnytting av rom (prosent)";55,9
"01 Østfold";"1987M08";"Pris per rom (kr)";0
"01 Østfold";"1987M09";"Kapasitetsutnytting av senger (prosent)";46,6
"01 Østfold";"1987M09";"Kapasitetsutnytting av rom (prosent)";65,9
"01 Østfold";"1987M09";"Pris per rom (kr)";0
"01 Østfold";"1987M10";"Kapasitetsutnytting av senger (prosent)";40,8
"01 Østfold";"1987M10";"Kapasitetsutnytting av rom (prosent)";61,4
"01 Østfold";"1987M10";"Pris per rom (kr)";0
"01 Østfold";"1987M11";"Kapasitetsutnytting av senger (prosent)";46,5
"01 Østfold";"1987M11";"Kapasitetsutnytting av rom (prosent)";62
"01 Østfold";"1987M11";"Pris per rom (kr)";0
"01 Østfold";"1987M12";"Kapasitetsutnytting av senger (prosent)";33,8
"01 Østfold";"1987M12";"Kapasitetsutnytting av rom (prosent)";44,1
"01 Østfold";"1987M12";"Pris per rom (kr)";0
"01 Østfold";"1988M01";"Kapasitetsutnytting av senger (prosent)";26
"01 Østfold";"1988M01";"Kapasitetsutnytting av rom (prosent)";42,6
"01 Østfold";"1988M01";"Pris per rom (kr)";0
"01 Østfold";"1988M02";"Kapasitetsutnytting av senger (prosent)";31,1
"01 Østfold";"1988M02";"Kapasitetsutnytting av rom (prosent)";48,2
"01 Østfold";"1988M02";"Pris per rom (kr)";0
"01 Østfold";"1988M03";"Kapasitetsutnytting av senger (prosent)";31,9
"01 Østfold";"1988M03";"Kapasitetsutnytting av rom (prosent)";49,4
"01 Østfold";"1988M03";"Pris per rom (kr)";0
"01 Østfold";"1988M04";"Kapasitetsutnytting av senger (prosent)";32,3
"01 Østfold";"1988M04";"Kapasitetsutnytting av rom (prosent)";48,5
"01 Østfold";"1988M04";"Pris per rom (kr)";0
"01 Østfold";"1988M05";"Kapasitetsutnytting av senger (prosent)";32,1
"01 Østfold";"1988M05";"Kapasitetsutnytting av rom (prosent)";41,4
"01 Østfold";"1988M05";"Pris per rom (kr)";0
"01 Østfold";"1988M06";"Kapasitetsutnytting av senger (prosent)";37,3
"01 Østfold";"1988M06";"Kapasitetsutnytting av rom (prosent)";48,7
"01 Østfold";"1988M06";"Pris per rom (kr)";0
"01 Østfold";"1988M07";"Kapasitetsutnytting av senger (prosent)";46,4
"01 Østfold";"1988M07";"Kapasitetsutnytting av rom (prosent)";47,1
"01 Østfold";"1988M07";"Pris per rom (kr)";0
"01 Østfold";"1988M08";"Kapasitetsutnytting av senger (prosent)";41,6
"01 Østfold";"1988M08";"Kapasitetsutnytting av rom (prosent)";54,5
"01 Østfold";"1988M08";"Pris per rom (kr)";0
"01 Østfold";"1988M09";"Kapasitetsutnytting av senger (prosent)";33,9
"01 Østfold";"1988M09";"Kapasitetsutnytting av rom (prosent)";47,1
"01 Østfold";"1988M09";"Pris per rom (kr)";0
"01 Østfold";"1988M10";"Kapasitetsutnytting av senger (prosent)";30,8
"01 Østfold";"1988M10";"Kapasitetsutnytting av rom (prosent)";45,6
"01 Østfold";"1988M10";"Pris per rom (kr)";0
"01 Østfold";"1988M11";"Kapasitetsutnytting av senger (prosent)";30,3
"01 Østfold";"1988M11";"Kapasitetsutnytting av rom (prosent)";44,6
"01 Østfold";"1988M11";"Pris per rom (kr)";0
"01 Østfold";"1988M12";"Kapasitetsutnytting av senger (prosent)";23,6
"01 Østfold";"1988M12";"Kapasitetsutnytting av rom (prosent)";34,4
"01 Østfold";"1988M12";"Pris per rom (kr)";0
"01 Østfold";"1989M01";"Kapasitetsutnytting av senger (prosent)";24,1
"01 Østfold";"1989M01";"Kapasitetsutnytting av rom (prosent)";38,5
"01 Østfold";"1989M01";"Pris per rom (kr)";0
"01 Østfold";"1989M02";"Kapasitetsutnytting av senger (prosent)";33,2
