"region";"måned";"statistikkvariabel";"03616: Hotell og liknande overnattingsbedrifter. Kapasitetsutnytting og pris per rom, etter region, måned og statistikkvariabel"
"0 Hele landet";"1986M07";"Kapasitetsutnytting av senger (prosent)";56,6
"0 Hele landet";"1986M07";"Kapasitetsutnytting av rom (prosent)";60,4
"0 Hele landet";"1986M07";"Pris per rom (kr)";0
"0 Hele landet";"1986M08";"Kapasitetsutnytting av senger (prosent)";49,6
"0 Hele landet";"1986M08";"Kapasitetsutnytting av rom (prosent)";59,9
"0 Hele landet";"1986M08";"Pris per rom (kr)";0
"0 Hele landet";"1986M09";"Kapasitetsutnytting av senger (prosent)";40,7
"0 Hele landet";"1986M09";"Kapasitetsutnytting av rom (prosent)";59,2
"0 Hele landet";"1986M09";"Pris per rom (kr)";0
"0 Hele landet";"1986M10";"Kapasitetsutnytting av senger (prosent)";38,5
"0 Hele landet";"1986M10";"Kapasitetsutnytting av rom (prosent)";58,5
"0 Hele landet";"1986M10";"Pris per rom (kr)";0
"0 Hele landet";"1986M11";"Kapasitetsutnytting av senger (prosent)";37,4
"0 Hele landet";"1986M11";"Kapasitetsutnytting av rom (prosent)";56,2
"0 Hele landet";"1986M11";"Pris per rom (kr)";0
"0 Hele landet";"1986M12";"Kapasitetsutnytting av senger (prosent)";30,4
"0 Hele landet";"1986M12";"Kapasitetsutnytting av rom (prosent)";41,3
"0 Hele landet";"1986M12";"Pris per rom (kr)";0
"0 Hele landet";"1987M01";"Kapasitetsutnytting av senger (prosent)";33,5
"0 Hele landet";"1987M01";"Kapasitetsutnytting av rom (prosent)";45,4
"0 Hele landet";"1987M01";"Pris per rom (kr)";0
"0 Hele landet";"1987M02";"Kapasitetsutnytting av senger (prosent)";44,6
"0 Hele landet";"1987M02";"Kapasitetsutnytting av rom (prosent)";57,1
"0 Hele landet";"1987M02";"Pris per rom (kr)";0
"0 Hele landet";"1987M03";"Kapasitetsutnytting av senger (prosent)";46,3
"0 Hele landet";"1987M03";"Kapasitetsutnytting av rom (prosent)";61,1
"0 Hele landet";"1987M03";"Pris per rom (kr)";0
"0 Hele landet";"1987M04";"Kapasitetsutnytting av senger (prosent)";39,4
"0 Hele landet";"1987M04";"Kapasitetsutnytting av rom (prosent)";49,9
"0 Hele landet";"1987M04";"Pris per rom (kr)";0
"0 Hele landet";"1987M05";"Kapasitetsutnytting av senger (prosent)";34,1
"0 Hele landet";"1987M05";"Kapasitetsutnytting av rom (prosent)";49,9
"0 Hele landet";"1987M05";"Pris per rom (kr)";0
"0 Hele landet";"1987M06";"Kapasitetsutnytting av senger (prosent)";45,9
"0 Hele landet";"1987M06";"Kapasitetsutnytting av rom (prosent)";59,6
"0 Hele landet";"1987M06";"Pris per rom (kr)";0
"0 Hele landet";"1987M07";"Kapasitetsutnytting av senger (prosent)";55,8
"0 Hele landet";"1987M07";"Kapasitetsutnytting av rom (prosent)";59,9
"0 Hele landet";"1987M07";"Pris per rom (kr)";0
"0 Hele landet";"1987M08";"Kapasitetsutnytting av senger (prosent)";47,9
"0 Hele landet";"1987M08";"Kapasitetsutnytting av rom (prosent)";59,3
"0 Hele landet";"1987M08";"Pris per rom (kr)";0
"0 Hele landet";"1987M09";"Kapasitetsutnytting av senger (prosent)";39,6
"0 Hele landet";"1987M09";"Kapasitetsutnytting av rom (prosent)";57,9
"0 Hele landet";"1987M09";"Pris per rom (kr)";0
"0 Hele landet";"1987M10";"Kapasitetsutnytting av senger (prosent)";36,5
"0 Hele landet";"1987M10";"Kapasitetsutnytting av rom (prosent)";55,4
"0 Hele landet";"1987M10";"Pris per rom (kr)";0
"0 Hele landet";"1987M11";"Kapasitetsutnytting av senger (prosent)";35,4
"0 Hele landet";"1987M11";"Kapasitetsutnytting av rom (prosent)";53,4
"0 Hele landet";"1987M11";"Pris per rom (kr)";0
"0 Hele landet";"1987M12";"Kapasitetsutnytting av senger (prosent)";29,1
"0 Hele landet";"1987M12";"Kapasitetsutnytting av rom (prosent)";40,1
"0 Hele landet";"1987M12";"Pris per rom (kr)";0
"0 Hele landet";"1988M01";"Kapasitetsutnytting av senger (prosent)";32,5
"0 Hele landet";"1988M01";"Kapasitetsutnytting av rom (prosent)";43,9
"0 Hele landet";"1988M01";"Pris per rom (kr)";0
"0 Hele landet";"1988M02";"Kapasitetsutnytting av senger (prosent)";43
"0 Hele landet";"1988M02";"Kapasitetsutnytting av rom (prosent)";53,3
"0 Hele landet";"1988M02";"Pris per rom (kr)";0
"0 Hele landet";"1988M03";"Kapasitetsutnytting av senger (prosent)";42,5
"0 Hele landet";"1988M03";"Kapasitetsutnytting av rom (prosent)";53,1
"0 Hele landet";"1988M03";"Pris per rom (kr)";0
"0 Hele landet";"1988M04";"Kapasitetsutnytting av senger (prosent)";37,6
"0 Hele landet";"1988M04";"Kapasitetsutnytting av rom (prosent)";51,1
"0 Hele landet";"1988M04";"Pris per rom (kr)";0
"0 Hele landet";"1988M05";"Kapasitetsutnytting av senger (prosent)";29,4
"0 Hele landet";"1988M05";"Kapasitetsutnytting av rom (prosent)";42,1
"0 Hele landet";"1988M05";"Pris per rom (kr)";0
"0 Hele landet";"1988M06";"Kapasitetsutnytting av senger (prosent)";44
"0 Hele landet";"1988M06";"Kapasitetsutnytting av rom (prosent)";57,7
"0 Hele landet";"1988M06";"Pris per rom (kr)";0
"0 Hele landet";"1988M07";"Kapasitetsutnytting av senger (prosent)";53,5
"0 Hele landet";"1988M07";"Kapasitetsutnytting av rom (prosent)";55,8
"0 Hele landet";"1988M07";"Pris per rom (kr)";0
"0 Hele landet";"1988M08";"Kapasitetsutnytting av senger (prosent)";45,3
"0 Hele landet";"1988M08";"Kapasitetsutnytting av rom (prosent)";56,7
"0 Hele landet";"1988M08";"Pris per rom (kr)";0
"0 Hele landet";"1988M09";"Kapasitetsutnytting av senger (prosent)";35,3
"0 Hele landet";"1988M09";"Kapasitetsutnytting av rom (prosent)";51,1
"0 Hele landet";"1988M09";"Pris per rom (kr)";0
"0 Hele landet";"1988M10";"Kapasitetsutnytting av senger (prosent)";31
"0 Hele landet";"1988M10";"Kapasitetsutnytting av rom (prosent)";47,2
"0 Hele landet";"1988M10";"Pris per rom (kr)";0
"0 Hele landet";"1988M11";"Kapasitetsutnytting av senger (prosent)";30,4
"0 Hele landet";"1988M11";"Kapasitetsutnytting av rom (prosent)";47,3
"0 Hele landet";"1988M11";"Pris per rom (kr)";0
"0 Hele landet";"1988M12";"Kapasitetsutnytting av senger (prosent)";24,8
"0 Hele landet";"1988M12";"Kapasitetsutnytting av rom (prosent)";34
"0 Hele landet";"1988M12";"Pris per rom (kr)";0
"0 Hele landet";"1989M01";"Kapasitetsutnytting av senger (prosent)";30,6
"0 Hele landet";"1989M01";"Kapasitetsutnytting av rom (prosent)";40,6
"0 Hele landet";"1989M01";"Pris per rom (kr)";0
"0 Hele landet";"1989M02";"Kapasitetsutnytting av senger (prosent)";39,7
"0 Hele landet";"1989M02";"Kapasitetsutnytting av rom (prosent)";48,7
"0 Hele landet";"1989M02";"Pris per rom (kr)";0
"0 Hele landet";"1989M03";"Kapasitetsutnytting av senger (prosent)";39,7
"0 Hele landet";"1989M03";"Kapasitetsutnytting av rom (prosent)";48,1
"0 Hele landet";"1989M03";"Pris per rom (kr)";0
"0 Hele landet";"1989M04";"Kapasitetsutnytting av senger (prosent)";33,6
"0 Hele landet";"1989M04";"Kapasitetsutnytting av rom (prosent)";49,6
"0 Hele landet";"1989M04";"Pris per rom (kr)";0
"0 Hele landet";"1989M05";"Kapasitetsutnytting av senger (prosent)";27
"0 Hele landet";"1989M05";"Kapasitetsutnytting av rom (prosent)";39,1
"0 Hele landet";"1989M05";"Pris per rom (kr)";0
"0 Hele landet";"1989M06";"Kapasitetsutnytting av senger (prosent)";43,2
"0 Hele landet";"1989M06";"Kapasitetsutnytting av rom (prosent)";56,4
"0 Hele landet";"1989M06";"Pris per rom (kr)";0
"0 Hele landet";"1989M07";"Kapasitetsutnytting av senger (prosent)";53,2
"0 Hele landet";"1989M07";"Kapasitetsutnytting av rom (prosent)";55,9
"0 Hele landet";"1989M07";"Pris per rom (kr)";0
"0 Hele landet";"1989M08";"Kapasitetsutnytting av senger (prosent)";44,9
"0 Hele landet";"1989M08";"Kapasitetsutnytting av rom (prosent)";55
"0 Hele landet";"1989M08";"Pris per rom (kr)";0
"0 Hele landet";"1989M09";"Kapasitetsutnytting av senger (prosent)";34,7
"0 Hele landet";"1989M09";"Kapasitetsutnytting av rom (prosent)";49,8
"0 Hele landet";"1989M09";"Pris per rom (kr)";0
"0 Hele landet";"1989M10";"Kapasitetsutnytting av senger (prosent)";29,7
"0 Hele landet";"1989M10";"Kapasitetsutnytting av rom (prosent)";46,4
"0 Hele landet";"1989M10";"Pris per rom (kr)";0
"0 Hele landet";"1989M11";"Kapasitetsutnytting av senger (prosent)";29
"0 Hele landet";"1989M11";"Kapasitetsutnytting av rom (prosent)";46
"0 Hele landet";"1989M11";"Pris per rom (kr)";0
"0 Hele landet";"1989M12";"Kapasitetsutnytting av senger (prosent)";25,2
"0 Hele landet";"1989M12";"Kapasitetsutnytting av rom (prosent)";34,2
"0 Hele landet";"1989M12";"Pris per rom (kr)";0
"0 Hele landet";"1990M01";"Kapasitetsutnytting av senger (prosent)";28,8
"0 Hele landet";"1990M01";"Kapasitetsutnytting av rom (prosent)";39,7
"0 Hele landet";"1990M01";"Pris per rom (kr)";0
"0 Hele landet";"1990M02";"Kapasitetsutnytting av senger (prosent)";38,9
"0 Hele landet";"1990M02";"Kapasitetsutnytting av rom (prosent)";47,7
"0 Hele landet";"1990M02";"Pris per rom (kr)";0
"0 Hele landet";"1990M03";"Kapasitetsutnytting av senger (prosent)";39,7
"0 Hele landet";"1990M03";"Kapasitetsutnytting av rom (prosent)";52,4
"0 Hele landet";"1990M03";"Pris per rom (kr)";0
"0 Hele landet";"1990M04";"Kapasitetsutnytting av senger (prosent)";30,5
"0 Hele landet";"1990M04";"Kapasitetsutnytting av rom (prosent)";38,9
"0 Hele landet";"1990M04";"Pris per rom (kr)";0
"0 Hele landet";"1990M05";"Kapasitetsutnytting av senger (prosent)";27,8
"0 Hele landet";"1990M05";"Kapasitetsutnytting av rom (prosent)";41,6
"0 Hele landet";"1990M05";"Pris per rom (kr)";0
"0 Hele landet";"1990M06";"Kapasitetsutnytting av senger (prosent)";43,4
"0 Hele landet";"1990M06";"Kapasitetsutnytting av rom (prosent)";56,1
"0 Hele landet";"1990M06";"Pris per rom (kr)";0
"0 Hele landet";"1990M07";"Kapasitetsutnytting av senger (prosent)";51,1
"0 Hele landet";"1990M07";"Kapasitetsutnytting av rom (prosent)";55
"0 Hele landet";"1990M07";"Pris per rom (kr)";0
"0 Hele landet";"1990M08";"Kapasitetsutnytting av senger (prosent)";43,6
"0 Hele landet";"1990M08";"Kapasitetsutnytting av rom (prosent)";54,8
"0 Hele landet";"1990M08";"Pris per rom (kr)";0
"0 Hele landet";"1990M09";"Kapasitetsutnytting av senger (prosent)";33
"0 Hele landet";"1990M09";"Kapasitetsutnytting av rom (prosent)";47,8
"0 Hele landet";"1990M09";"Pris per rom (kr)";0
"0 Hele landet";"1990M10";"Kapasitetsutnytting av senger (prosent)";28,7
"0 Hele landet";"1990M10";"Kapasitetsutnytting av rom (prosent)";45
"0 Hele landet";"1990M10";"Pris per rom (kr)";0
"0 Hele landet";"1990M11";"Kapasitetsutnytting av senger (prosent)";27,6
"0 Hele landet";"1990M11";"Kapasitetsutnytting av rom (prosent)";43,6
"0 Hele landet";"1990M11";"Pris per rom (kr)";0
"0 Hele landet";"1990M12";"Kapasitetsutnytting av senger (prosent)";23,9
"0 Hele landet";"1990M12";"Kapasitetsutnytting av rom (prosent)";32,6
"0 Hele landet";"1990M12";"Pris per rom (kr)";0
"0 Hele landet";"1991M01";"Kapasitetsutnytting av senger (prosent)";26,5
"0 Hele landet";"1991M01";"Kapasitetsutnytting av rom (prosent)";36
"0 Hele landet";"1991M01";"Pris per rom (kr)";0
"0 Hele landet";"1991M02";"Kapasitetsutnytting av senger (prosent)";39,3
"0 Hele landet";"1991M02";"Kapasitetsutnytting av rom (prosent)";46,9
"0 Hele landet";"1991M02";"Pris per rom (kr)";0
"0 Hele landet";"1991M03";"Kapasitetsutnytting av senger (prosent)";40,1
"0 Hele landet";"1991M03";"Kapasitetsutnytting av rom (prosent)";47,6
"0 Hele landet";"1991M03";"Pris per rom (kr)";0
"0 Hele landet";"1991M04";"Kapasitetsutnytting av senger (prosent)";31,3
"0 Hele landet";"1991M04";"Kapasitetsutnytting av rom (prosent)";45,6
"0 Hele landet";"1991M04";"Pris per rom (kr)";0
"0 Hele landet";"1991M05";"Kapasitetsutnytting av senger (prosent)";27,8
"0 Hele landet";"1991M05";"Kapasitetsutnytting av rom (prosent)";40,6
"0 Hele landet";"1991M05";"Pris per rom (kr)";0
"0 Hele landet";"1991M06";"Kapasitetsutnytting av senger (prosent)";44,6
"0 Hele landet";"1991M06";"Kapasitetsutnytting av rom (prosent)";58,4
"0 Hele landet";"1991M06";"Pris per rom (kr)";0
"0 Hele landet";"1991M07";"Kapasitetsutnytting av senger (prosent)";54,8
"0 Hele landet";"1991M07";"Kapasitetsutnytting av rom (prosent)";57,4
"0 Hele landet";"1991M07";"Pris per rom (kr)";0
"0 Hele landet";"1991M08";"Kapasitetsutnytting av senger (prosent)";44,9
"0 Hele landet";"1991M08";"Kapasitetsutnytting av rom (prosent)";55
"0 Hele landet";"1991M08";"Pris per rom (kr)";0
"0 Hele landet";"1991M09";"Kapasitetsutnytting av senger (prosent)";32,5
"0 Hele landet";"1991M09";"Kapasitetsutnytting av rom (prosent)";48
"0 Hele landet";"1991M09";"Pris per rom (kr)";0
"0 Hele landet";"1991M10";"Kapasitetsutnytting av senger (prosent)";29,1
"0 Hele landet";"1991M10";"Kapasitetsutnytting av rom (prosent)";45,6
"0 Hele landet";"1991M10";"Pris per rom (kr)";0
"0 Hele landet";"1991M11";"Kapasitetsutnytting av senger (prosent)";28,6
"0 Hele landet";"1991M11";"Kapasitetsutnytting av rom (prosent)";45
"0 Hele landet";"1991M11";"Pris per rom (kr)";0
"0 Hele landet";"1991M12";"Kapasitetsutnytting av senger (prosent)";24
"0 Hele landet";"1991M12";"Kapasitetsutnytting av rom (prosent)";32,7
"0 Hele landet";"1991M12";"Pris per rom (kr)";0
"0 Hele landet";"1992M01";"Kapasitetsutnytting av senger (prosent)";28
"0 Hele landet";"1992M01";"Kapasitetsutnytting av rom (prosent)";37,4
"0 Hele landet";"1992M01";"Pris per rom (kr)";554
"0 Hele landet";"1992M02";"Kapasitetsutnytting av senger (prosent)";38,3
"0 Hele landet";"1992M02";"Kapasitetsutnytting av rom (prosent)";46,1
"0 Hele landet";"1992M02";"Pris per rom (kr)";569
"0 Hele landet";"1992M03";"Kapasitetsutnytting av senger (prosent)";37
"0 Hele landet";"1992M03";"Kapasitetsutnytting av rom (prosent)";49,8
"0 Hele landet";"1992M03";"Pris per rom (kr)";581
"0 Hele landet";"1992M04";"Kapasitetsutnytting av senger (prosent)";29,1
"0 Hele landet";"1992M04";"Kapasitetsutnytting av rom (prosent)";38,4
"0 Hele landet";"1992M04";"Pris per rom (kr)";580
"0 Hele landet";"1992M05";"Kapasitetsutnytting av senger (prosent)";29,6
"0 Hele landet";"1992M05";"Kapasitetsutnytting av rom (prosent)";43,5
"0 Hele landet";"1992M05";"Pris per rom (kr)";574
"0 Hele landet";"1992M06";"Kapasitetsutnytting av senger (prosent)";44,1
"0 Hele landet";"1992M06";"Kapasitetsutnytting av rom (prosent)";57,9
"0 Hele landet";"1992M06";"Pris per rom (kr)";540
"0 Hele landet";"1992M07";"Kapasitetsutnytting av senger (prosent)";57,6
"0 Hele landet";"1992M07";"Kapasitetsutnytting av rom (prosent)";60,2
"0 Hele landet";"1992M07";"Pris per rom (kr)";485
"0 Hele landet";"1992M08";"Kapasitetsutnytting av senger (prosent)";46,1
"0 Hele landet";"1992M08";"Kapasitetsutnytting av rom (prosent)";57,4
"0 Hele landet";"1992M08";"Pris per rom (kr)";527
"0 Hele landet";"1992M09";"Kapasitetsutnytting av senger (prosent)";33,6
"0 Hele landet";"1992M09";"Kapasitetsutnytting av rom (prosent)";49,3
"0 Hele landet";"1992M09";"Pris per rom (kr)";587
"0 Hele landet";"1992M10";"Kapasitetsutnytting av senger (prosent)";28,8
"0 Hele landet";"1992M10";"Kapasitetsutnytting av rom (prosent)";45,1
"0 Hele landet";"1992M10";"Pris per rom (kr)";585
"0 Hele landet";"1992M11";"Kapasitetsutnytting av senger (prosent)";26,9
"0 Hele landet";"1992M11";"Kapasitetsutnytting av rom (prosent)";43,6
"0 Hele landet";"1992M11";"Pris per rom (kr)";579
"0 Hele landet";"1992M12";"Kapasitetsutnytting av senger (prosent)";23,6
"0 Hele landet";"1992M12";"Kapasitetsutnytting av rom (prosent)";33
"0 Hele landet";"1992M12";"Pris per rom (kr)";589
"0 Hele landet";"1993M01";"Kapasitetsutnytting av senger (prosent)";28,1
"0 Hele landet";"1993M01";"Kapasitetsutnytting av rom (prosent)";37,7
"0 Hele landet";"1993M01";"Pris per rom (kr)";559
"0 Hele landet";"1993M02";"Kapasitetsutnytting av senger (prosent)";39,1
"0 Hele landet";"1993M02";"Kapasitetsutnytting av rom (prosent)";47,8
"0 Hele landet";"1993M02";"Pris per rom (kr)";586
"0 Hele landet";"1993M03";"Kapasitetsutnytting av senger (prosent)";38
"0 Hele landet";"1993M03";"Kapasitetsutnytting av rom (prosent)";52,5
"0 Hele landet";"1993M03";"Pris per rom (kr)";572
"0 Hele landet";"1993M04";"Kapasitetsutnytting av senger (prosent)";31,3
"0 Hele landet";"1993M04";"Kapasitetsutnytting av rom (prosent)";41,5
"0 Hele landet";"1993M04";"Pris per rom (kr)";579
"0 Hele landet";"1993M05";"Kapasitetsutnytting av senger (prosent)";28,1
"0 Hele landet";"1993M05";"Kapasitetsutnytting av rom (prosent)";41,4
"0 Hele landet";"1993M05";"Pris per rom (kr)";574
"0 Hele landet";"1993M06";"Kapasitetsutnytting av senger (prosent)";47,7
"0 Hele landet";"1993M06";"Kapasitetsutnytting av rom (prosent)";63,8
"0 Hele landet";"1993M06";"Pris per rom (kr)";547
"0 Hele landet";"1993M07";"Kapasitetsutnytting av senger (prosent)";59,7
"0 Hele landet";"1993M07";"Kapasitetsutnytting av rom (prosent)";63,4
"0 Hele landet";"1993M07";"Pris per rom (kr)";492
"0 Hele landet";"1993M08";"Kapasitetsutnytting av senger (prosent)";46,6
"0 Hele landet";"1993M08";"Kapasitetsutnytting av rom (prosent)";57,9
"0 Hele landet";"1993M08";"Pris per rom (kr)";542
"0 Hele landet";"1993M09";"Kapasitetsutnytting av senger (prosent)";34,3
"0 Hele landet";"1993M09";"Kapasitetsutnytting av rom (prosent)";51,6
"0 Hele landet";"1993M09";"Pris per rom (kr)";572
"0 Hele landet";"1993M10";"Kapasitetsutnytting av senger (prosent)";29,3
"0 Hele landet";"1993M10";"Kapasitetsutnytting av rom (prosent)";45,9
"0 Hele landet";"1993M10";"Pris per rom (kr)";572
"0 Hele landet";"1993M11";"Kapasitetsutnytting av senger (prosent)";28,9
"0 Hele landet";"1993M11";"Kapasitetsutnytting av rom (prosent)";47,5
"0 Hele landet";"1993M11";"Pris per rom (kr)";596
"0 Hele landet";"1993M12";"Kapasitetsutnytting av senger (prosent)";24,6
"0 Hele landet";"1993M12";"Kapasitetsutnytting av rom (prosent)";35
"0 Hele landet";"1993M12";"Pris per rom (kr)";583
"0 Hele landet";"1994M01";"Kapasitetsutnytting av senger (prosent)";30,4
"0 Hele landet";"1994M01";"Kapasitetsutnytting av rom (prosent)";41,3
"0 Hele landet";"1994M01";"Pris per rom (kr)";552
"0 Hele landet";"1994M02";"Kapasitetsutnytting av senger (prosent)";39
"0 Hele landet";"1994M02";"Kapasitetsutnytting av rom (prosent)";48,3
"0 Hele landet";"1994M02";"Pris per rom (kr)";704
"0 Hele landet";"1994M03";"Kapasitetsutnytting av senger (prosent)";38,6
"0 Hele landet";"1994M03";"Kapasitetsutnytting av rom (prosent)";50,6
"0 Hele landet";"1994M03";"Pris per rom (kr)";586
"0 Hele landet";"1994M04";"Kapasitetsutnytting av senger (prosent)";31,7
"0 Hele landet";"1994M04";"Kapasitetsutnytting av rom (prosent)";46,2
"0 Hele landet";"1994M04";"Pris per rom (kr)";572
"0 Hele landet";"1994M05";"Kapasitetsutnytting av senger (prosent)";29,8
"0 Hele landet";"1994M05";"Kapasitetsutnytting av rom (prosent)";43,5
"0 Hele landet";"1994M05";"Pris per rom (kr)";576
"0 Hele landet";"1994M06";"Kapasitetsutnytting av senger (prosent)";49,4
"0 Hele landet";"1994M06";"Kapasitetsutnytting av rom (prosent)";66,5
"0 Hele landet";"1994M06";"Pris per rom (kr)";559
"0 Hele landet";"1994M07";"Kapasitetsutnytting av senger (prosent)";59,1
"0 Hele landet";"1994M07";"Kapasitetsutnytting av rom (prosent)";63,4
"0 Hele landet";"1994M07";"Pris per rom (kr)";507
"0 Hele landet";"1994M08";"Kapasitetsutnytting av senger (prosent)";47,7
"0 Hele landet";"1994M08";"Kapasitetsutnytting av rom (prosent)";60,3
"0 Hele landet";"1994M08";"Pris per rom (kr)";541
"0 Hele landet";"1994M09";"Kapasitetsutnytting av senger (prosent)";34,1
"0 Hele landet";"1994M09";"Kapasitetsutnytting av rom (prosent)";51,1
"0 Hele landet";"1994M09";"Pris per rom (kr)";570
"0 Hele landet";"1994M10";"Kapasitetsutnytting av senger (prosent)";28,2
"0 Hele landet";"1994M10";"Kapasitetsutnytting av rom (prosent)";45,6
"0 Hele landet";"1994M10";"Pris per rom (kr)";586
"0 Hele landet";"1994M11";"Kapasitetsutnytting av senger (prosent)";27,7
"0 Hele landet";"1994M11";"Kapasitetsutnytting av rom (prosent)";46,1
"0 Hele landet";"1994M11";"Pris per rom (kr)";586
"0 Hele landet";"1994M12";"Kapasitetsutnytting av senger (prosent)";24,9
"0 Hele landet";"1994M12";"Kapasitetsutnytting av rom (prosent)";35,5
"0 Hele landet";"1994M12";"Pris per rom (kr)";590
"0 Hele landet";"1995M01";"Kapasitetsutnytting av senger (prosent)";30,4
"0 Hele landet";"1995M01";"Kapasitetsutnytting av rom (prosent)";41
"0 Hele landet";"1995M01";"Pris per rom (kr)";584
"0 Hele landet";"1995M02";"Kapasitetsutnytting av senger (prosent)";40
"0 Hele landet";"1995M02";"Kapasitetsutnytting av rom (prosent)";50,1
"0 Hele landet";"1995M02";"Pris per rom (kr)";604
"0 Hele landet";"1995M03";"Kapasitetsutnytting av senger (prosent)";39,6
"0 Hele landet";"1995M03";"Kapasitetsutnytting av rom (prosent)";53,7
"0 Hele landet";"1995M03";"Pris per rom (kr)";588
"0 Hele landet";"1995M04";"Kapasitetsutnytting av senger (prosent)";31,4
"0 Hele landet";"1995M04";"Kapasitetsutnytting av rom (prosent)";41,3
"0 Hele landet";"1995M04";"Pris per rom (kr)";594
"0 Hele landet";"1995M05";"Kapasitetsutnytting av senger (prosent)";30,2
"0 Hele landet";"1995M05";"Kapasitetsutnytting av rom (prosent)";45,5
"0 Hele landet";"1995M05";"Pris per rom (kr)";591
"0 Hele landet";"1995M06";"Kapasitetsutnytting av senger (prosent)";44,2
"0 Hele landet";"1995M06";"Kapasitetsutnytting av rom (prosent)";59,1
"0 Hele landet";"1995M06";"Pris per rom (kr)";578
"0 Hele landet";"1995M07";"Kapasitetsutnytting av senger (prosent)";57,2
"0 Hele landet";"1995M07";"Kapasitetsutnytting av rom (prosent)";61,5
"0 Hele landet";"1995M07";"Pris per rom (kr)";519
"0 Hele landet";"1995M08";"Kapasitetsutnytting av senger (prosent)";43,7
