"region";"måned";"statistikkvariabel";"03616: Hotell og liknande overnattingsbedrifter. Kapasitetsutnytting og pris per rom, etter region, måned og statistikkvariabel"
"0 Hele landet";"1985M01";"Kapasitetsutnytting av senger (prosent)";31,9
"0 Hele landet";"1985M01";"Kapasitetsutnytting av rom (prosent)";42,7
"0 Hele landet";"1985M01";"Pris per rom (kr)";0
"0 Hele landet";"1985M02";"Kapasitetsutnytting av senger (prosent)";48
"0 Hele landet";"1985M02";"Kapasitetsutnytting av rom (prosent)";57,1
"0 Hele landet";"1985M02";"Pris per rom (kr)";0
"0 Hele landet";"1985M03";"Kapasitetsutnytting av senger (prosent)";47,1
"0 Hele landet";"1985M03";"Kapasitetsutnytting av rom (prosent)";59,8
"0 Hele landet";"1985M03";"Pris per rom (kr)";0
"0 Hele landet";"1985M04";"Kapasitetsutnytting av senger (prosent)";42,1
"0 Hele landet";"1985M04";"Kapasitetsutnytting av rom (prosent)";52,4
"0 Hele landet";"1985M04";"Pris per rom (kr)";0
"0 Hele landet";"1985M05";"Kapasitetsutnytting av senger (prosent)";31,9
"0 Hele landet";"1985M05";"Kapasitetsutnytting av rom (prosent)";45,7
"0 Hele landet";"1985M05";"Pris per rom (kr)";0
"0 Hele landet";"1985M06";"Kapasitetsutnytting av senger (prosent)";49,2
"0 Hele landet";"1985M06";"Kapasitetsutnytting av rom (prosent)";63
"0 Hele landet";"1985M06";"Pris per rom (kr)";0
"0 Hele landet";"1985M07";"Kapasitetsutnytting av senger (prosent)";59,4
"0 Hele landet";"1985M07";"Kapasitetsutnytting av rom (prosent)";61,4
"0 Hele landet";"1985M07";"Pris per rom (kr)";0
"0 Hele landet";"1985M08";"Kapasitetsutnytting av senger (prosent)";53,3
"0 Hele landet";"1985M08";"Kapasitetsutnytting av rom (prosent)";63,1
"0 Hele landet";"1985M08";"Pris per rom (kr)";0
"0 Hele landet";"1985M09";"Kapasitetsutnytting av senger (prosent)";42,8
"0 Hele landet";"1985M09";"Kapasitetsutnytting av rom (prosent)";59,3
"0 Hele landet";"1985M09";"Pris per rom (kr)";0
"0 Hele landet";"1985M10";"Kapasitetsutnytting av senger (prosent)";40,3
"0 Hele landet";"1985M10";"Kapasitetsutnytting av rom (prosent)";60,3
"0 Hele landet";"1985M10";"Pris per rom (kr)";0
"0 Hele landet";"1985M11";"Kapasitetsutnytting av senger (prosent)";40,3
"0 Hele landet";"1985M11";"Kapasitetsutnytting av rom (prosent)";58,3
"0 Hele landet";"1985M11";"Pris per rom (kr)";0
"0 Hele landet";"1985M12";"Kapasitetsutnytting av senger (prosent)";33,1
"0 Hele landet";"1985M12";"Kapasitetsutnytting av rom (prosent)";43,9
"0 Hele landet";"1985M12";"Pris per rom (kr)";0
"0 Hele landet";"1986M01";"Kapasitetsutnytting av senger (prosent)";36,1
"0 Hele landet";"1986M01";"Kapasitetsutnytting av rom (prosent)";49,3
"0 Hele landet";"1986M01";"Pris per rom (kr)";0
"0 Hele landet";"1986M02";"Kapasitetsutnytting av senger (prosent)";49,8
"0 Hele landet";"1986M02";"Kapasitetsutnytting av rom (prosent)";60,8
"0 Hele landet";"1986M02";"Pris per rom (kr)";0
"0 Hele landet";"1986M03";"Kapasitetsutnytting av senger (prosent)";49,1
"0 Hele landet";"1986M03";"Kapasitetsutnytting av rom (prosent)";58,7
"0 Hele landet";"1986M03";"Pris per rom (kr)";0
"0 Hele landet";"1986M04";"Kapasitetsutnytting av senger (prosent)";38,1
"0 Hele landet";"1986M04";"Kapasitetsutnytting av rom (prosent)";52,4
"0 Hele landet";"1986M04";"Pris per rom (kr)";0
"0 Hele landet";"1986M05";"Kapasitetsutnytting av senger (prosent)";32,6
"0 Hele landet";"1986M05";"Kapasitetsutnytting av rom (prosent)";46,4
"0 Hele landet";"1986M05";"Pris per rom (kr)";0
"0 Hele landet";"1986M06";"Kapasitetsutnytting av senger (prosent)";45,3
"0 Hele landet";"1986M06";"Kapasitetsutnytting av rom (prosent)";58,9
"0 Hele landet";"1986M06";"Pris per rom (kr)";0
